Loadlist
Exported from tcam_poe.sch at 7/31/22 8:00 PM
EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft
Assembly variant: Rev 1

Part     Value               Device              Package             Library                    Sheet
R19      330 ohm             R-USSMT0603         R0603               djd_eagle_library          3
R20      330 ohm             R-USSMT0603         R0603               djd_eagle_library          3
R33      330 ohm             R-USSMT0603         R0603               djd_eagle_library          4
R34      330 ohm             R-USSMT0603         R0603               djd_eagle_library          4

R24      43.5 kohm           R-USSMT0603         R0603               djd_eagle_library          3

S1       105028-1001         105028-1001         MOLEX_105028-1001   105028-1001                4

SW1      PCM12SMTR           SWITCH-SPDT-SMD-A   SWITCH-SPST-SMD-A   SparkFun-Electromechanical 4

T1       HX2019FNLT          HX2019FNLT          XFMR_HX2019FNLT     HX2019FNLT                 1

U1       SP3002-04JTG        SP3002-04JTG        SOT65P220X95-6N     SP3002-04JTG               1

U2       IP101GR             IP101GR             QFN32_4X4           IP101GR                    2

U3       SP3002-04JTG        SP3002-04JTG        SOT65P220X95-6N     SP3002-04JTG               3

U4       CP2102N-A02-GQFN24  CP2102N_QFN24       QFN24               djd_eagle_library          3

U5       TLV62568PDBV        TLV62568DBV         SOT23-5             djd_eagle_library          3

U6       TLV75530PDBVR       V_REG_LDO           SOT23-5             djd_eagle_library          3

U7       MIC5365-2.8YD5      V_REG_LDO           SOT23-5             djd_eagle_library          3

U8       MIC5365-1.2YD5      V_REG_LDO           SOT23-5             djd_eagle_library          3

U9       DSC1001CI1-025.0000 OSC_EN3225          CRYSTAL-3225        djd_eagle_library          4

XTAL1    25 MHz              CRYSTAL5X3SMT3225   CRYSTAL-3225        djd_eagle_library          2
